address,type
0xe4b5b2667e049ac8c79ae6c5a7e3300815aa32be,cex
0xbb3fd383d1c5540e52ef0a7bcb9433375793aeaf,cex
0xf24c621e5108607f4ec60e9c4f91719a76c7b3c9,cex
0x9b0c45d46d386cedd98873168c36efd0dcba8d46,cex
0x2db1d8cdf1abe8c70b531a790cdf2ff38aecf652,cex
0xa0fca8fa8e9c6aa77305f94be0e03908d0a42900,cex
0xa21a16ec22a940990922220e4ab5bf4c2310f556,cex
0xa95b83af96d0b8a90bd507f2bd82ad8f3dbb86bc,cex
0xd38cf87f114f2a0582c329fb9df4f7044ce71330,cex
0x3eebbebecde31d36d6aa7aa4fe2a06159119b659,cex
0x5754284f345afc66a98fbb0a0afe71e0f007b949,cex
0x203520f4ec42ea39b03f62b20e20cf17db5fdfa7,cex
0xb5873e333161e5b45adac57379ec2b15d861178d,cex
0x500a746c9a44f68fe6aa86a92e7b3af4f322ae66,cex
0xf0bc8fddb1f358cef470d63f96ae65b1d7914953,cex
0xb48c5ca99d33a8625e125f69ac8e07f3dffe34a0,cex
0xb262f75dbbff55f14e2a50e2d9d751e213c81ed0,cex
0x26b52c889fcf3b8f449ad1c0f07b8572e6ace262,cex
0x661bc014ba045a1918215cbe2af8121ada09638d,cex
0x2b9287402e077f866a067176217ee6ec0e24e4cc,cex
0x27899fface558bde9f284ba5c8c91ec79ee60fd6,cex
0x2f13d388b85e0ecd32e7c3d7f36d1053354ef104,cex
0x1651d700cd4020334bd185ba4c6e0271ffc0c732,cex
0x352e0242a58c4f43dc40f3ee9a2ea14ccc6bb2ea,cex
0x63dfe4e34a3bfc00eb0220786238a7c6cef8ffc4,cex
0x3d8fc1cffaa110f7a7f9f8bc237b73d54c4abf61,cex
0x941b4fdb4b1533ab2cc8b90ff0700f658b4aa642,cex
0x7e278a68a35d76a7e4b2c9d8b778acd775c6d832,cex
0xa0387adba7636722abe119cbf9220ce0b9938b0b,cex
0x5f8215ee653cb7225c741c7aa8591468d1f158b8,cex
0xd108fd0e8c8e71552a167e7a44ff1d345d233ba6,cex
0x2407b9b9662d970ece2224a0403d3b15c7e4d1fe,cex
0x50be13b54f3eebbe415d20250598d81280e56772,cex
0x19f00b3a7b6f55c9da966fe3723251784a797fa7,cex
0xe4516477adacc6682cf18069475f676a5b5667f9,cex
0x74b0e133bee3384dfcfa60b31d85d8e2062de811,cex
0x02a78632215262a94ce8651846e7d22adc98ce3c,cex
0xef317e433b0836f294866d43f67d6871b609b351,cex
0x2982bb64bcd07ac3315c32cb2bb7e5e8a2de7d67,cex
0x6c73b1ca08bbc3f44340603b1fb9e331c2abaca7,cex
0x4b8bd5ad437d43babd20bbd618f73e3f50d9475f,cex
0xe0a616c3659be29567e08819772e6905307adf21,cex
0xb3f923eabaf178fc1bd8e13902fc5c61d3ddef5b,cex
0x91dca37856240e5e1906222ec79278b16420dc92,cex
0xdb3ded7731c781224ec292e2163d9554c094fd7c,cex
0x47dd7b40346037d7ca47d45e40c66a2f351edb20,cex
0x377b8ce04761754e8ac153b47805a9cf6b190873,cex
0x8a37f0290ae85d08522d2a605617e76128fd0712,cex
0x935f64b44b5c48a1539c4ada5161d27ace4205b5,cex
0x742d35cc6634c0532925a3b844bc454e4438f44e,cex
0x1c3944173abee256456b1498299fc501ad5bbd6f,cex
0x7bffa98b3588039e190dc2a348ee069de452146b,cex
0x77134cbc06cb00b66f4c7e623d5fdbf6777635ec,cex
0xce2cc46682e9c6d5f174af598fb4931a9c0be68e,cex
0xef268b5c05452d63a17da12f562368e88a036ef1,cex
